ID                                     0x4ed5
Delivery_person_ID             SURRES010DEL02
Delivery_person_Age                 34.000000
Delivery_person_Ratings              3.700000
Restaurant_latitude                 21.171060
Restaurant_longitude                72.789292
Delivery_location_latitude          21.251060
Delivery_location_longitude         72.869292
Order_Date                         02-04-2022
Time_Orderd                             17:45
Time_Order_picked                       17:60
Weather conditions                 Sandstorms
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    38.000000
Name: 44498, dtype: object
