ID                                     0xae75
Delivery_person_ID             PUNERES04DEL03
Delivery_person_Age                 29.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 18.514210
Restaurant_longitude                73.838429
Delivery_location_latitude          18.574210
Delivery_location_longitude         73.898429
Order_Date                         17-03-2022
Time_Orderd                             18:20
Time_Order_picked                       18:25
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    26.000000
Name: 4596, dtype: object
