ID                                    0xbf26
Delivery_person_ID             BHPRES04DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                23.184992
Restaurant_longitude               77.417227
Delivery_location_latitude         23.264992
Delivery_location_longitude        77.497227
Order_Date                        18-02-2022
Time_Orderd                              NaN
Time_Order_picked                      22:55
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   16.000000
Name: 7664, dtype: object
