ID                                     0x7be2
Delivery_person_ID             INDORES13DEL01
Delivery_person_Age                 36.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 22.745049
Restaurant_longitude                75.892471
Delivery_location_latitude          22.785049
Delivery_location_longitude         75.932471
Order_Date                         03-04-2022
Time_Orderd                             15:20
Time_Order_picked                       15:35
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    25.000000
Name: 11250, dtype: object
